itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,49.212,3.798,416.389,24.695,4.772,167.423,6.883,4.741,93.834,3.959,3.893,3.474,4.381,2.919,4.011,40.946,5.562,6.242,2.885,2.181,47.854,11.598,6.076,6.271,5.269
2,51.992,4.209,425.192,28.076,5.556,176.572,10.336,4.89,106.11,3.703,4.266,3.503,4.974,2.463,4.29,48.456,7.635,6.705,3.374,2.405,56.87,13.83,6.388,6.814,5.214
3,50.895,5.18,372.809,30.749,6.901,163.477,14.728,5.421,109.148,4.388,4.532,4.678,5.486,2.461,4.441,53.407,10.394,6.822,4.064,2.612,61.651,16.337,7.09,8.028,4.979
4,47.784,6.594,282.939,32.969,8.553,137.088,18.918,6.215,106.004,6.267,4.637,6.97,5.823,2.815,4.454,56.979,13.244,6.638,4.788,2.771,62.566,18.654,7.872,9.461,4.712
5,44.597,8.115,187.257,34.69,10.066,108.808,21.564,6.991,98.367,9.061,4.536,9.898,5.884,3.251,4.315,56.734,15.392,6.261,5.333,2.835,58.966,20.142,8.43,10.488,4.519
6,42.035,9.316,116.286,35.379,10.968,89.337,21.654,7.428,90.146,11.948,4.23,12.577,5.626,3.504,4.027,54.402,16.142,5.778,5.495,2.763,52.985,20.207,8.6,10.6,4.413
7,39.381,9.869,78.144,34.231,11.016,79.672,19.005,7.342,80.157,13.97,3.765,14.107,5.098,3.487,3.624,47.434,15.189,5.233,5.197,2.544,44.47,18.62,8.353,9.691,4.329
8,35.336,9.675,65.893,30.765,10.292,76.553,14.506,6.779,70.229,14.458,3.232,13.918,4.43,3.249,3.178,39.232,12.824,4.631,4.527,2.213,35.631,15.728,7.776,8.084,4.169
9,30.698,8.896,64.688,25.969,9.125,73.88,9.626,5.978,57.116,13.666,2.742,12.175,3.81,2.945,2.774,28.294,9.809,3.986,3.696,1.842,26.401,12.277,7.021,6.334,3.879
10,29.156,7.857,82.043,22.387,7.951,73.763,5.797,5.226,44.331,12.459,2.396,9.607,3.429,2.761,2.497,18.928,7.041,3.364,2.939,1.521,19.192,9.147,6.169,4.965,3.484
11,35.442,6.834,133.382,23.218,7.066,82.974,3.909,4.673,33.092,12.092,2.244,7.471,3.404,2.815,2.382,10.963,5.167,2.839,2.405,1.32,14.771,6.96,5.28,4.268,3.085
12,50.925,5.988,221.001,29.883,6.622,102.789,3.955,4.32,27.231,13.229,2.27,6.715,3.709,3.136,2.398,7.468,4.374,2.48,2.123,1.26,16.309,5.772,4.43,4.22,2.79
13,72.2,5.356,329.661,40.996,6.628,134.861,5.354,4.074,25.565,15.596,2.417,7.49,4.199,3.693,2.477,7.887,4.499,2.297,2.033,1.323,24.257,5.403,3.685,4.58,2.686
14,91.932,4.917,422.74,52.591,7.01,165.66,7.314,3.869,27.641,18.033,2.623,9.085,4.694,4.366,2.571,12.929,5.227,2.234,2.059,1.477,38.677,5.694,3.135,5.075,2.808
15,102.016,4.639,467.771,59.626,7.649,187.525,9.192,3.734,31.624,19.208,2.826,10.45,5.046,5.089,2.668,21.205,6.222,2.312,2.154,1.683,56.55,6.497,2.957,5.531,3.118
16,97.884,4.482,447.778,58.675,8.298,190.056,10.562,3.726,36.73,18.388,2.957,10.87,5.137,5.75,2.762,31.241,7.117,2.487,2.268,1.879,73.448,7.655,3.176,5.814,3.491
