itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,4.083,4.988,3.985,2.843,3.524,3.796,2.555,6.562,4.656,3.379,8.653,1.903,8.844,3.926,9.678,4.643,1.571,2.188,3.638,8.058,4.914,2.315,2.315,5.244,12.206
2,4.465,4.971,3.659,3.657,4.186,4.125,2.365,7.04,3.302,3.246,8.731,2.196,9.181,4.45,9.578,3.464,2.004,2.274,3.928,7.613,5.318,3.098,2.562,6.136,11.379
3,4.575,4.875,3.172,4.726,4.837,4.567,2.515,7.36,2.599,3.258,9.287,2.936,9.926,5.043,9.759,2.416,2.343,2.53,4.104,7.184,5.34,3.937,3.203,6.876,10.673
4,4.343,4.763,2.679,5.637,5.353,4.908,2.925,7.396,2.571,3.478,10.361,3.805,10.941,5.657,10.274,1.644,2.481,2.825,4.166,6.952,4.983,4.522,4.193,7.316,10.345
5,3.853,4.698,2.278,6.056,5.698,4.895,3.384,7.083,3.034,3.86,11.802,4.443,12.001,6.137,11.037,1.171,2.433,3.048,4.132,7.04,4.453,4.665,5.328,7.403,10.54
6,3.312,4.708,2.052,5.935,5.873,4.545,3.709,6.478,3.796,4.316,13.356,4.689,12.899,6.339,11.899,1.015,2.306,3.141,4.02,7.504,4.118,4.385,6.353,7.183,11.252
7,2.943,4.81,2.067,5.567,5.896,4.094,3.873,5.748,4.813,4.75,14.753,4.672,13.512,6.204,12.694,1.261,2.241,3.139,3.852,8.284,4.306,3.824,6.986,6.769,12.301
8,2.823,4.989,2.327,5.359,5.796,3.854,3.901,5.068,5.775,5.101,15.799,4.655,13.815,5.758,13.298,1.938,2.343,3.129,3.658,9.213,5.057,3.17,7.046,6.317,13.411
9,2.846,5.226,2.749,5.452,5.593,4.069,3.824,4.562,6.692,5.309,16.436,4.85,13.863,5.19,13.663,3.01,2.625,3.219,3.441,10.088,6.102,2.564,6.511,5.97,14.338
10,2.825,5.499,3.236,5.756,5.284,4.732,3.671,4.274,7.519,5.366,16.721,5.277,13.748,4.731,13.796,4.347,2.967,3.462,3.192,10.745,7.082,2.101,5.522,5.811,14.952
11,2.611,5.762,3.671,5.979,4.898,5.603,3.435,4.151,8.274,5.273,16.749,5.77,13.553,4.562,13.723,5.733,3.187,3.821,2.919,11.106,7.733,1.861,4.362,5.902,15.25
12,2.169,5.995,3.98,5.806,4.532,6.394,3.112,4.093,9.023,5.024,16.601,6.074,13.349,4.625,13.505,6.848,3.185,4.18,2.678,11.192,7.941,1.962,3.357,6.265,15.352
13,1.589,6.207,4.174,5.189,4.303,6.754,2.785,4.028,9.434,4.66,16.331,6.074,13.207,4.719,13.244,7.39,3.012,4.407,2.525,11.099,7.756,2.522,2.749,6.85,15.441
14,1.149,6.436,4.424,4.372,4.33,6.708,2.639,3.966,9.798,4.361,15.994,5.933,13.184,4.738,13.051,7.262,2.828,4.398,2.484,10.941,7.232,3.585,2.637,7.531,15.643
15,1.209,6.691,4.941,3.729,4.68,6.23,2.813,3.937,9.89,4.374,15.665,5.883,13.296,4.646,12.979,6.544,2.796,4.171,2.573,10.777,6.554,5.009,2.944,8.154,15.926
16,2.011,6.909,5.799,3.578,5.295,5.834,3.318,3.962,10.55,4.828,15.414,6.076,13.497,4.444,12.977,5.545,2.976,3.836,2.779,10.576,5.965,6.494,3.464,8.551,16.078
17,3.517,6.999,6.784,3.992,6.008,5.491,4.013,4.024,11.671,5.696,15.241,6.522,13.707,4.212,12.903,4.57,3.274,3.538,3.046,10.248,5.929,7.709,3.971,8.629,15.85
18,5.343,6.877,7.536,4.831,6.62,5.681,4.66,4.117,13.483,6.759,15.07,7.175,13.845,4.039,12.624,3.933,3.534,3.403,3.325,9.727,6.755,8.401,4.356,8.412,15.127
19,6.956,6.572,7.679,5.819,7.043,6.393,5.011,4.311,15.291,7.744,14.812,8.016,13.882,3.884,12.109,3.698,3.604,3.423,3.589,9.042,8.206,8.458,4.59,8.052,14.041
20,7.896,6.306,7.041,6.641,7.269,7.605,4.981,4.731,16.348,8.431,14.427,8.888,13.885,3.711,11.473,3.73,3.422,3.515,3.852,8.357,9.97,7.935,4.767,7.748,12.942
21,7.901,6.372,5.758,7.066,7.354,8.921,4.678,5.501,16.117,8.707,13.982,9.555,13.994,3.504,10.966,3.782,3.026,3.57,4.16,7.93,11.191,6.993,5.04,7.644,12.264
22,7.034,6.936,4.221,7.028,7.418,9.962,4.291,6.628,14.598,8.589,13.626,9.811,14.345,3.282,10.845,3.657,2.549,3.522,4.54,7.979,11.423,5.867,5.505,7.746,12.308
23,5.633,7.879,2.937,6.578,7.499,10.329,3.976,7.915,12.176,8.137,13.521,9.532,14.957,3.139,11.251,3.319,2.139,3.381,4.962,8.573,10.332,4.737,6.179,7.959,13.114
24,4.121,8.842,2.295,5.879,7.534,9.822,3.755,9.009,9.973,7.418,13.788,8.737,15.68,3.122,12.147,2.898,1.843,3.193,5.331,9.588,8.384,3.715,6.95,8.145,14.438
25,2.881,9.432,2.532,5.209,7.408,9.028,3.551,9.55,8.346,6.558,14.392,7.608,16.232,3.237,13.31,2.613,1.665,3.009,5.529,10.741,6.274,2.973,7.66,8.198,15.86
26,2.109,9.422,3.537,4.835,7.07,8.722,3.273,9.345,7.893,5.695,15.129,6.505,16.35,3.463,14.407,2.648,1.602,2.848,5.465,11.688,4.756,2.642,8.161,8.092,16.96
27,1.757,8.828,4.988,4.883,6.537,9.616,2.974,8.444,8.268,5.003,15.722,5.845,15.944,3.694,15.138,3.055,1.68,2.684,5.117,12.16,4.166,2.856,8.363,7.813,17.455
28,1.642,7.898,6.389,5.273,5.951,11.694,2.794,7.157,9.727,4.612,15.949,5.925,15.133,3.816,15.341,3.699,1.921,2.485,4.56,12.052,4.331,3.634,8.237,7.339,17.262
29,1.659,6.995,7.339,5.826,5.461,14.216,2.894,5.925,11.803,4.647,15.745,6.925,14.185,3.817,15.042,4.344,2.356,2.285,3.964,11.443,4.903,4.95,7.916,6.703,16.497
30,1.785,6.418,7.627,6.48,5.131,16.129,3.369,5.099,14.064,5.097,15.237,8.804,13.421,3.763,14.434,4.786,2.941,2.218,3.54,10.543,5.45,6.768,7.754,6.034,15.416
31,1.976,6.268,7.23,7.236,4.893,16.618,4.093,4.789,15.59,5.938,14.691,11.248,13.084,3.741,13.788,4.911,3.552,2.381,3.436,9.597,5.819,8.859,8.016,5.448,14.297
32,2.238,6.4,6.363,7.991,4.601,15.562,4.801,4.855,15.769,7.054,14.343,13.706,13.219,3.804,13.301,4.744,4.056,2.749,3.657,8.78,5.919,10.789,8.668,5.01,13.33
33,2.647,6.533,5.393,8.67,4.139,13.545,5.189,5.027,14.372,8.263,14.284,15.59,13.618,3.937,13.028,4.368,4.375,3.222,4.088,8.156,5.803,12.133,9.437,4.776,12.577
34,3.271,6.437,4.672,9.079,3.539,11.507,5.123,5.088,11.909,9.379,14.426,16.446,13.949,4.051,12.901,3.99,4.473,3.675,4.567,7.726,5.567,12.599,9.988,4.783,12.031
35,4.2,6.065,4.454,9.058,2.959,10.13,4.817,4.931,9.226,10.297,14.556,16.18,13.939,4.124,12.793,3.73,4.364,4.025,4.912,7.47,5.269,12.192,10.111,4.938,11.663
36,5.54,5.556,4.775,8.546,2.6,9.566,4.669,4.611,7.341,10.843,14.47,14.966,13.518,4.16,12.629,3.679,4.095,4.254,5.041,7.404,5.0,11.213,9.72,5.125,11.465
37,7.298,5.117,5.432,7.703,2.588,9.461,4.99,4.27,6.353,10.924,14.134,13.22,12.881,4.156,12.438,3.787,3.726,4.374,4.963,7.566,4.789,10.151,8.926,5.232,11.477
38,9.257,4.891,6.198,6.923,2.878,9.421,5.763,4.039,6.122,10.568,13.672,11.443,12.347,4.116,12.308,4.032,3.308,4.33,4.722,7.957,4.737,9.441,7.852,5.184,11.727
39,11.014,4.9,6.949,6.606,3.287,9.186,6.678,3.981,6.057,9.913,13.271,9.972,12.152,4.108,12.305,4.34,2.984,4.064,4.379,8.482,4.917,9.283,6.609,4.983,12.163
40,12.084,5.038,7.686,6.958,3.598,8.924,7.327,4.044,5.867,9.136,13.055,8.92,12.312,4.126,12.395,4.718,2.98,3.59,3.994,8.973,5.332,9.532,5.313,4.705,12.654
41,12.142,5.139,8.384,7.809,3.668,8.581,7.436,4.098,5.402,8.377,13.032,8.234,12.651,4.146,12.451,5.165,3.482,3.023,3.6,9.265,5.866,9.794,4.074,4.406,13.044
42,11.178,5.067,8.926,8.693,3.483,8.522,7.002,4.041,4.677,7.684,13.147,7.701,12.922,4.165,12.379,5.746,4.508,2.535,3.213,9.295,6.316,9.66,2.953,4.078,13.239
43,9.51,4.781,9.103,9.143,3.163,8.923,6.197,3.845,4.092,7.05,13.338,7.178,12.967,4.174,12.208,6.432,5.799,2.278,2.875,9.155,6.465,8.919,2.03,3.685,13.273
44,7.641,4.41,8.79,8.961,2.969,10.059,5.326,3.607,4.343,6.454,13.562,6.643,12.803,4.187,12.095,7.087,6.914,2.297,2.675,9.033,6.281,7.704,1.393,3.227,13.276
45,6.065,4.114,7.941,8.377,3.134,11.923,4.588,3.465,6.182,5.818,13.778,6.141,12.567,4.211,12.203,7.507,7.396,2.486,2.672,9.097,5.754,6.364,1.161,2.745,13.36
46,5.043,3.973,6.737,7.811,3.698,14.128,4.143,3.51,9.962,5.088,13.952,5.735,12.418,4.195,12.573,7.462,6.996,2.638,2.854,9.377,5.12,5.382,1.289,2.328,13.534
47,4.512,3.939,5.337,7.569,4.465,15.809,4.14,3.8,15.266,4.29,14.021,5.467,12.425,4.17,13.054,6.858,5.816,2.603,3.111,9.736,4.439,5.111,1.631,2.093,13.697
48,4.237,3.911,4.12,7.713,5.122,16.206,4.792,4.333,21.048,3.596,13.961,5.419,12.523,4.237,13.411,5.82,4.256,2.401,3.316,9.974,3.948,5.547,2.1,2.145,13.708
49,4.018,3.826,3.374,8.015,5.407,15.181,6.277,4.995,25.819,3.159,13.833,5.626,12.614,4.409,13.483,4.672,2.824,2.16,3.362,9.964,3.571,6.412,2.62,2.502,13.498
50,3.695,3.699,3.207,8.144,5.221,13.066,8.544,5.608,27.762,2.989,13.766,5.964,12.678,4.633,13.264,3.788,1.919,2.026,3.199,9.714,3.431,7.356,3.092,3.066,13.12
51,3.248,3.578,3.563,7.855,4.681,10.764,11.149,6.004,26.233,3.059,13.936,6.163,12.816,4.849,12.931,3.422,1.648,2.065,2.88,9.359,3.583,8.055,3.418,3.71,12.734
52,2.78,3.493,4.293,7.166,4.037,9.148,13.337,6.097,22.527,3.332,14.467,6.029,13.179,4.984,12.736,3.669,1.836,2.228,2.529,9.063,4.18,8.317,3.507,4.329,12.501
53,2.546,3.469,5.282,6.335,3.548,8.527,14.35,5.964,17.852,3.702,15.336,5.524,13.835,5.061,12.828,4.502,2.253,2.401,2.248,8.918,5.172,8.114,3.383,4.805,12.464
54,2.74,3.533,6.443,5.614,3.356,8.688,13.84,5.773,14.224,4.118,16.34,4.793,14.689,5.249,13.148,5.831,2.733,2.578,2.085,8.901,6.368,7.567,3.216,5.077,12.528
55,3.4,3.693,7.59,5.204,3.45,8.989,12.027,5.667,12.365,4.518,17.177,4.271,15.523,5.649,13.475,7.442,3.221,2.823,2.019,8.916,7.469,6.84,3.169,5.149,12.548
56,4.356,3.91,8.416,5.09,3.736,8.753,9.506,5.688,12.548,4.815,17.586,4.419,16.078,6.238,13.584,8.913,3.615,3.172,1.995,8.905,7.995,5.983,3.273,5.073,12.442
57,5.269,4.117,8.731,5.0,4.154,7.847,6.999,5.772,13.587,4.962,17.466,5.467,16.161,6.896,13.405,9.775,3.779,3.59,1.973,8.893,7.842,5.042,3.428,4.925,12.237
58,5.803,4.261,8.316,4.701,4.712,6.649,4.988,5.782,14.317,5.007,16.902,7.27,15.739,7.435,13.06,9.642,3.613,3.952,1.94,8.965,6.985,4.132,3.535,4.765,12.064
59,5.769,4.366,7.327,4.051,5.473,5.713,3.681,5.623,14.102,5.084,16.089,9.288,14.941,7.639,12.774,8.479,3.132,4.085,1.919,9.186,5.803,3.459,3.563,4.625,12.055
60,5.217,4.506,6.017,3.198,6.486,5.413,3.006,5.327,12.564,5.338,15.27,10.841,14.031,7.427,12.736,6.544,2.466,3.885,1.949,9.532,4.654,3.205,3.558,4.537,12.263
61,4.414,4.758,4.786,2.406,7.743,5.64,2.686,5.04,10.549,5.832,14.68,11.406,13.328,6.893,12.999,4.442,1.825,3.377,2.07,9.891,3.754,3.42,3.597,4.523,12.653
62,3.659,5.181,3.969,1.962,9.109,6.041,2.496,4.942,8.854,6.498,14.482,10.796,13.079,6.282,13.492,2.7,1.395,2.719,2.304,10.147,3.192,3.897,3.704,4.57,13.127
63,3.147,5.729,3.616,1.991,10.314,6.164,2.371,5.134,8.536,7.071,14.782,9.201,13.394,5.767,14.117,1.606,1.263,2.118,2.637,10.28,2.787,4.325,3.835,4.63,13.607
64,2.895,6.284,3.659,2.427,11.03,5.805,2.317,5.599,9.799,7.246,15.68,7.135,14.263,5.393,14.795,1.147,1.391,1.718,3.019,10.357,2.603,4.536,3.939,4.706,14.083
65,2.795,6.685,3.888,3.076,11.018,4.973,2.327,6.201,12.12,6.808,17.257,5.188,15.612,5.091,15.463,1.133,1.662,1.543,3.364,10.511,2.604,4.582,3.963,4.836,14.65
66,2.691,6.803,4.186,3.692,10.226,3.875,2.333,6.726,14.908,5.791,19.428,3.753,17.277,4.725,16.06,1.372,1.95,1.503,3.58,10.845,2.889,4.619,3.877,5.039,15.428
67,2.545,6.646,4.524,4.072,8.828,2.824,2.327,7.0,17.235,4.581,21.86,2.897,19.026,4.204,16.524,1.842,2.209,1.481,3.611,11.361,3.478,4.76,3.692,5.284,16.425
68,2.415,6.287,4.97,4.174,7.146,2.137,2.337,6.925,18.501,3.773,24.018,2.508,20.621,3.595,16.805,2.66,2.468,1.445,3.462,11.955,4.164,5.003,3.492,5.514,17.497
69,2.413,5.796,5.528,4.124,5.536,2.082,2.447,6.465,18.823,3.772,25.337,2.453,21.876,3.017,16.876,3.805,2.792,1.426,3.186,12.467,4.851,5.363,3.334,5.664,18.406
70,2.588,5.245,6.057,4.098,4.269,2.656,2.758,5.713,18.908,4.566,25.486,2.592,22.667,2.624,16.774,5.13,3.195,1.513,2.871,12.764,5.263,5.871,3.307,5.685,18.92
71,2.887,4.66,6.342,4.234,3.447,3.679,3.359,4.794,19.413,5.75,24.518,2.806,22.941,2.52,16.599,6.369,3.649,1.771,2.572,12.795,5.386,6.489,3.507,5.512,18.902
72,3.16,4.041,6.22,4.572,3.02,4.764,4.157,3.853,20.797,6.742,22.88,2.993,22.759,2.787,16.471,7.222,4.073,2.222,2.292,12.586,5.239,7.214,4.078,5.11,18.355
73,3.24,3.398,5.687,5.061,2.83,5.559,4.967,3.082,23.349,7.088,21.243,3.096,22.326,3.341,16.483,7.513,4.412,2.809,2.01,12.206,4.983,8.125,5.041,4.511,17.423
74,3.02,2.786,4.882,5.559,2.719,5.819,5.566,2.644,27.168,6.674,20.188,3.11,21.934,4.013,16.655,7.255,4.623,3.373,1.711,11.756,4.686,9.28,6.173,3.791,16.362
75,2.543,2.276,4.004,5.891,2.621,5.448,5.812,2.591,31.849,5.676,20.01,3.032,21.875,4.595,16.954,6.611,4.671,3.727,1.406,11.359,4.362,10.728,7.143,3.052,15.478
76,1.991,1.91,3.239,5.946,2.535,4.621,5.731,2.827,36.365,4.444,20.661,2.88,22.354,4.88,17.316,5.787,4.563,3.76,1.145,11.13,4.036,12.307,7.73,2.405,15.051
77,1.583,1.708,2.681,5.784,2.471,3.777,5.465,3.159,39.74,3.326,21.831,2.72,23.39,4.768,17.693,4.966,4.325,3.482,0.974,11.163,3.721,13.608,7.952,1.922,15.248
