itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,19.333,1.229,8.13,20.474,1.192,11.672,1.27,0.59,0.995,1.896,0.317,1.863,0.285,0.988,0.203,9.655,20.425,1.706,1.318,0.267,6.842,7.468,1.736,0.943,0.262
2,15.875,1.11,7.088,17.039,0.991,9.173,1.309,0.618,0.875,1.052,0.295,1.108,0.271,1.494,0.201,9.027,17.773,1.74,1.473,0.25,5.27,6.18,1.548,0.983,0.301
3,11.722,1.035,6.108,12.561,0.865,6.758,1.372,0.708,0.841,0.661,0.305,0.851,0.283,1.98,0.212,8.436,15.185,1.874,1.638,0.245,4.094,5.023,1.659,1.083,0.371
4,7.977,1.019,5.458,8.428,0.839,5.08,1.394,0.829,0.913,0.599,0.347,1.028,0.318,2.288,0.234,8.083,13.28,1.976,1.828,0.252,3.551,4.449,2.001,1.209,0.46
5,5.374,1.049,5.169,5.592,0.898,4.306,1.359,0.935,1.095,0.659,0.412,1.443,0.37,2.314,0.258,7.967,12.247,2.015,2.062,0.266,3.696,4.718,2.446,1.306,0.545
6,4.051,1.099,5.056,4.255,1.012,4.253,1.326,0.983,1.384,0.714,0.486,1.911,0.427,2.067,0.277,7.861,11.846,2.034,2.326,0.282,4.337,5.734,2.89,1.326,0.602
7,3.699,1.136,5.063,4.089,1.147,4.715,1.368,0.953,1.767,0.757,0.55,2.304,0.478,1.645,0.284,7.727,11.606,2.046,2.569,0.3,5.175,7.104,3.252,1.252,0.616
8,3.873,1.133,5.246,4.619,1.265,5.553,1.526,0.852,2.191,0.812,0.589,2.576,0.511,1.181,0.283,7.622,11.247,2.065,2.709,0.317,5.901,8.345,3.519,1.102,0.588
9,4.351,1.097,5.772,5.58,1.345,6.736,1.796,0.71,2.55,0.887,0.596,2.709,0.523,0.788,0.277,7.721,10.966,2.134,2.672,0.329,6.299,9.071,3.727,0.936,0.532
10,5.164,1.081,6.638,7.009,1.393,8.075,2.114,0.563,2.722,1.022,0.576,2.773,0.513,0.524,0.277,8.113,11.302,2.362,2.441,0.331,6.228,9.178,3.92,0.842,0.474
11,6.429,1.138,7.578,9.11,1.433,9.205,2.395,0.447,2.641,1.261,0.541,2.881,0.486,0.376,0.287,8.785,12.548,2.809,2.069,0.323,5.695,8.839,4.156,0.894,0.438
12,8.17,1.278,8.214,11.999,1.478,9.827,2.575,0.377,2.332,1.582,0.504,3.061,0.447,0.293,0.307,9.622,14.475,3.476,1.663,0.309,4.896,8.443,4.461,1.102,0.429
13,10.231,1.459,8.239,15.463,1.522,9.789,2.626,0.349,1.911,1.898,0.474,3.233,0.4,0.234,0.33,10.446,16.367,4.239,1.331,0.298,4.128,8.328,4.752,1.41,0.436
14,12.258,1.605,7.567,18.852,1.538,9.103,2.561,0.344,1.528,2.127,0.452,3.29,0.352,0.189,0.346,11.106,17.33,4.884,1.155,0.298,3.598,8.597,4.899,1.713,0.442
15,13.755,1.644,6.339,21.261,1.498,7.934,2.4,0.349,1.294,2.233,0.434,3.174,0.309,0.164,0.349,11.577,16.808,5.188,1.162,0.311,3.445,9.037,4.769,1.912,0.432
16,14.266,1.55,4.892,21.944,1.391,6.602,2.173,0.359,1.226,2.217,0.416,2.91,0.275,0.176,0.339,11.944,14.886,4.995,1.311,0.331,3.653,9.322,4.355,1.95,0.404
17,13.603,1.35,3.664,20.683,1.241,5.499,1.942,0.377,1.274,2.149,0.394,2.62,0.256,0.238,0.321,12.147,12.252,4.419,1.527,0.348,4.065,9.297,3.767,1.84,0.368
18,11.93,1.109,3.018,17.859,1.091,4.928,1.801,0.41,1.378,2.119,0.368,2.476,0.249,0.356,0.304,12.029,9.785,3.706,1.732,0.357,4.516,9.06,3.204,1.646,0.339
19,9.702,0.902,3.036,14.256,0.991,4.936,1.828,0.464,1.509,2.238,0.342,2.649,0.254,0.539,0.296,11.448,8.191,3.108,1.864,0.359,4.857,8.852,2.939,1.455,0.328
20,7.456,0.781,3.474,10.704,0.971,5.164,2.042,0.541,1.683,2.549,0.323,3.183,0.261,0.778,0.297,10.297,7.728,2.806,1.896,0.354,4.991,8.802,3.09,1.325,0.339
21,5.558,0.753,3.923,7.77,1.018,5.218,2.395,0.636,1.916,2.944,0.313,3.908,0.264,1.036,0.304,8.677,8.208,2.781,1.833,0.348,4.843,8.919,3.579,1.26,0.361
22,4.177,0.786,4.115,5.695,1.078,4.953,2.776,0.742,2.213,3.237,0.308,4.532,0.257,1.258,0.311,6.988,9.21,2.922,1.717,0.34,4.426,9.09,4.102,1.221,0.382
23,3.313,0.83,4.082,4.421,1.086,4.533,3.036,0.842,2.535,3.267,0.307,4.81,0.24,1.375,0.312,5.681,10.327,3.067,1.589,0.325,3.86,9.21,4.374,1.157,0.39
24,2.856,0.853,4.001,3.7,1.014,4.173,3.062,0.917,2.788,2.972,0.307,4.615,0.22,1.35,0.307,4.933,11.195,3.094,1.477,0.301,3.314,9.143,4.225,1.04,0.38
