itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,20.109,1.436,8.807,19.503,1.556,13.498,1.609,0.712,1.302,4.754,0.43,4.426,0.361,0.405,0.229,9.718,22.831,2.599,1.09,0.337,9.805,8.977,2.746,1.015,0.265
2,21.186,1.383,8.933,21.541,1.454,13.645,1.382,0.643,1.202,3.518,0.379,3.336,0.328,0.529,0.219,10.007,22.653,2.036,1.151,0.304,8.787,8.705,2.303,0.974,0.253
3,20.099,1.27,8.402,21.129,1.26,12.324,1.276,0.595,1.042,2.246,0.33,2.184,0.293,0.85,0.206,9.805,21.133,1.741,1.272,0.275,7.334,7.828,1.85,0.943,0.256
4,17.085,1.144,7.426,18.292,1.048,9.987,1.291,0.602,0.905,1.265,0.299,1.293,0.273,1.33,0.2,9.231,18.631,1.712,1.424,0.254,5.738,6.591,1.575,0.963,0.285
5,13.024,1.052,6.388,13.984,0.894,7.456,1.355,0.674,0.84,0.739,0.298,0.878,0.276,1.841,0.207,8.605,15.943,1.831,1.585,0.245,4.403,5.341,1.595,1.047,0.346
6,9.048,1.018,5.619,9.612,0.836,5.508,1.394,0.79,0.879,0.595,0.331,0.936,0.305,2.219,0.226,8.16,13.78,1.951,1.764,0.249,3.643,4.545,1.876,1.17,0.432
7,6.045,1.036,5.235,6.312,0.872,4.463,1.373,0.906,1.026,0.637,0.39,1.3,0.353,2.338,0.251,7.988,12.484,2.008,1.984,0.261,3.585,4.542,2.303,1.282,0.521
8,4.34,1.083,5.077,4.526,0.972,4.203,1.331,0.976,1.282,0.7,0.463,1.769,0.409,2.169,0.272,7.901,11.929,2.028,2.242,0.277,4.1,5.356,2.757,1.33,0.588
9,3.733,1.128,5.05,4.045,1.105,4.531,1.344,0.971,1.639,0.743,0.532,2.193,0.463,1.787,0.283,7.771,11.69,2.044,2.5,0.294,4.912,6.668,3.15,1.285,0.617
10,3.781,1.139,5.158,4.401,1.232,5.25,1.463,0.89,2.06,0.793,0.58,2.505,0.503,1.323,0.284,7.641,11.369,2.057,2.682,0.312,5.701,7.999,3.443,1.155,0.601
