itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1,5.556,0.833,7.385,5.522,0.923,12.149,0.812,0.371,1.392,1.528,0.277,1.261,0.277,0.481,0.308,7.994,6.085,1.478,0.464,0.487,10.543,6.525,1.663,0.588,0.335
2,6.831,0.908,6.763,6.692,1.06,11.426,0.754,0.42,1.482,1.965,0.253,1.943,0.274,0.593,0.281,9.584,5.253,2.158,0.589,0.577,10.281,5.886,2.018,0.818,0.344
3,8.761,1.038,6.634,8.54,1.221,11.12,0.73,0.476,1.499,2.78,0.248,2.974,0.297,0.7,0.249,10.871,4.646,3.196,0.801,0.67,10.464,4.888,2.681,1.214,0.38
4,10.524,1.137,6.767,10.175,1.328,11.145,0.732,0.53,1.424,3.697,0.252,4.069,0.332,0.771,0.222,11.416,4.558,4.279,1.028,0.737,11.084,3.964,3.405,1.613,0.42
5,11.57,1.162,7.014,11.002,1.354,11.228,0.752,0.573,1.277,4.435,0.258,4.922,0.365,0.792,0.206,11.205,5.185,5.052,1.196,0.757,11.684,3.402,3.949,1.877,0.448
6,11.779,1.111,7.123,10.917,1.306,11.085,0.785,0.598,1.094,4.79,0.257,5.314,0.384,0.763,0.204,10.553,6.635,5.289,1.261,0.726,11.892,3.219,4.132,1.923,0.456
7,11.33,1.003,6.921,10.103,1.213,10.395,0.837,0.602,0.911,4.688,0.248,5.167,0.377,0.708,0.212,9.896,8.711,4.968,1.223,0.659,11.389,3.2,3.891,1.738,0.442
8,10.548,0.873,6.41,8.925,1.101,9.133,0.924,0.587,0.755,4.191,0.236,4.563,0.345,0.651,0.221,9.516,10.974,4.261,1.128,0.582,10.227,3.124,3.3,1.396,0.413
9,9.725,0.764,5.682,7.751,0.991,7.373,1.052,0.565,0.621,3.517,0.233,3.76,0.3,0.601,0.222,9.48,12.921,3.485,1.028,0.519,8.795,2.982,2.59,1.021,0.381
10,9.09,0.715,4.927,6.873,0.915,5.511,1.248,0.554,0.513,3.033,0.249,3.165,0.263,0.575,0.212,9.536,14.32,3.005,0.972,0.479,7.571,2.974,2.055,0.739,0.354
11,8.764,0.747,4.348,6.389,0.902,4.146,1.516,0.572,0.477,3.059,0.29,3.079,0.251,0.574,0.198,9.466,15.312,3.002,0.979,0.462,6.929,3.279,1.867,0.62,0.337
12,8.913,0.855,4.226,6.42,0.962,3.852,1.809,0.623,0.55,3.652,0.348,3.531,0.268,0.585,0.189,9.18,16.185,3.363,1.033,0.454,7.007,4.004,2.043,0.658,0.329
13,9.83,1.013,4.641,7.286,1.095,4.853,2.046,0.691,0.732,4.578,0.407,4.297,0.306,0.584,0.191,8.792,17.322,3.78,1.095,0.442,7.719,5.127,2.447,0.787,0.322
14,11.775,1.186,5.627,9.337,1.274,7.041,2.143,0.751,0.971,5.404,0.452,4.989,0.346,0.551,0.204,8.547,18.831,3.926,1.124,0.42,8.756,6.463,2.834,0.92,0.311
15,14.706,1.333,6.921,12.635,1.445,9.799,2.064,0.777,1.193,5.767,0.47,5.295,0.373,0.484,0.22,8.698,20.547,3.68,1.112,0.393,9.709,7.749,3.035,1.005,0.295
16,17.972,1.421,8.191,16.601,1.55,12.306,1.835,0.757,1.31,5.469,0.459,5.043,0.376,0.414,0.229,9.228,22.093,3.133,1.086,0.363,10.057,8.674,2.98,1.03,0.278
17,20.461,1.432,8.879,20.042,1.546,13.642,1.559,0.7,1.289,4.543,0.421,4.242,0.356,0.415,0.228,9.808,22.898,2.479,1.096,0.331,9.677,8.98,2.672,1.009,0.262
18,21.149,1.365,8.882,21.663,1.423,13.502,1.351,0.632,1.174,3.271,0.37,3.115,0.321,0.574,0.217,10.004,22.467,1.958,1.169,0.299,8.533,8.581,2.214,0.966,0.252
19,19.661,1.245,8.244,20.764,1.219,11.944,1.271,0.592,1.013,2.032,0.322,1.988,0.288,0.931,0.204,9.72,20.719,1.717,1.299,0.27,7.041,7.616,1.779,0.942,0.259
20,16.369,1.123,7.223,17.556,1.013,9.499,1.301,0.61,0.886,1.132,0.296,1.176,0.271,1.428,0.2,9.108,18.117,1.727,1.453,0.251,5.453,6.344,1.555,0.974,0.294
21,12.24,1.041,6.216,13.128,0.876,7.029,1.366,0.694,0.84,0.688,0.302,0.856,0.28,1.926,0.21,8.502,15.481,1.857,1.616,0.245,4.211,5.144,1.63,1.068,0.361
22,8.392,1.018,5.518,8.887,0.837,5.24,1.395,0.814,0.898,0.596,0.34,0.988,0.313,2.264,0.23,8.111,13.469,1.967,1.802,0.251,3.579,4.477,1.949,1.194,0.449
23,5.627,1.044,5.194,5.861,0.887,4.361,1.365,0.924,1.066,0.65,0.403,1.385,0.363,2.327,0.255,7.975,12.334,2.012,2.03,0.264,3.645,4.638,2.388,1.297,0.536
24,4.155,1.093,5.063,4.349,0.996,4.227,1.327,0.981,1.342,0.709,0.477,1.855,0.42,2.11,0.275,7.877,11.877,2.032,2.293,0.28,4.239,5.578,2.838,1.329,0.597
25,3.706,1.134,5.056,4.063,1.13,4.637,1.357,0.961,1.715,0.751,0.543,2.261,0.472,1.703,0.284,7.745,11.641,2.045,2.543,0.298,5.07,6.931,3.213,1.267,0.617
26,3.833,1.135,5.207,4.527,1.252,5.427,1.5,0.868,2.139,0.804,0.586,2.549,0.508,1.237,0.283,7.627,11.296,2.062,2.7,0.315,5.825,8.213,3.489,1.123,0.593
27,4.275,1.101,5.686,5.437,1.338,6.574,1.758,0.728,2.513,0.876,0.596,2.699,0.523,0.83,0.278,7.694,10.978,2.118,2.688,0.328,6.272,9.014,3.703,0.954,0.54
28,5.039,1.079,6.518,6.798,1.388,7.911,2.075,0.58,2.714,1.0,0.579,2.765,0.515,0.55,0.276,8.049,11.211,2.322,2.479,0.332,6.265,9.195,3.894,0.847,0.481
29,6.244,1.126,7.469,8.804,1.428,9.087,2.365,0.459,2.665,1.226,0.545,2.864,0.49,0.39,0.285,8.688,12.344,2.74,2.12,0.325,5.781,8.894,4.122,0.878,0.441
30,7.93,1.257,8.164,11.597,1.472,9.783,2.559,0.383,2.38,1.54,0.508,3.036,0.452,0.301,0.305,9.515,14.218,3.384,1.712,0.311,5.001,8.482,4.421,1.069,0.429
31,9.966,1.436,8.275,15.017,1.517,9.831,2.627,0.351,1.964,1.862,0.477,3.215,0.406,0.241,0.328,10.349,16.164,4.146,1.365,0.299,4.215,8.321,4.721,1.369,0.435
32,12.023,1.591,7.687,18.463,1.539,9.219,2.575,0.344,1.569,2.105,0.454,3.292,0.358,0.194,0.345,11.037,17.285,4.817,1.167,0.298,3.647,8.547,4.895,1.679,0.442
33,13.615,1.647,6.513,21.043,1.506,8.098,2.424,0.348,1.314,2.227,0.436,3.198,0.314,0.165,0.349,11.524,16.959,5.175,1.152,0.309,3.442,8.985,4.802,1.896,0.434
34,14.265,1.569,5.07,21.966,1.408,6.764,2.203,0.357,1.226,2.224,0.419,2.948,0.279,0.172,0.341,11.904,15.183,5.045,1.287,0.328,3.612,9.302,4.419,1.954,0.409
35,13.747,1.379,3.791,20.939,1.261,5.612,1.968,0.374,1.264,2.158,0.397,2.652,0.257,0.227,0.323,12.136,12.589,4.504,1.499,0.346,4.007,9.316,3.844,1.86,0.373
36,12.181,1.139,3.061,18.273,1.108,4.964,1.81,0.405,1.363,2.117,0.371,2.48,0.25,0.338,0.306,12.065,10.057,3.794,1.709,0.357,4.464,9.093,3.262,1.672,0.341
37,9.992,0.924,3.003,14.719,0.999,4.914,1.814,0.456,1.491,2.212,0.345,2.607,0.253,0.513,0.296,11.552,8.328,3.168,1.852,0.359,4.824,8.871,2.95,1.476,0.328
38,7.723,0.791,3.41,11.123,0.969,5.137,2.006,0.53,1.658,2.503,0.325,3.101,0.26,0.746,0.297,10.47,7.728,2.827,1.897,0.355,4.989,8.798,3.049,1.338,0.336
39,5.769,0.752,3.879,8.091,1.01,5.23,2.347,0.624,1.884,2.896,0.313,3.817,0.264,1.005,0.303,8.895,8.11,2.772,1.845,0.349,4.878,8.899,3.509,1.266,0.358
40,4.32,0.781,4.106,5.906,1.072,4.999,2.732,0.729,2.174,3.212,0.309,4.469,0.258,1.234,0.31,7.184,9.071,2.901,1.732,0.341,4.49,9.069,4.045,1.227,0.38
41,3.396,0.825,4.092,4.544,1.089,4.588,3.015,0.83,2.497,3.281,0.307,4.799,0.242,1.368,0.312,5.817,10.193,3.054,1.605,0.327,3.932,9.203,4.36,1.167,0.39
42,2.896,0.851,4.007,3.767,1.027,4.205,3.073,0.91,2.763,3.026,0.307,4.665,0.222,1.361,0.308,4.995,11.111,3.098,1.49,0.304,3.376,9.166,4.269,1.058,0.382
43,2.682,0.849,4.025,3.388,0.895,4.117,2.879,0.949,2.87,2.495,0.307,4.085,0.206,1.221,0.299,4.696,11.509,3.003,1.383,0.276,2.934,8.852,3.735,0.902,0.355
44,2.649,0.824,4.282,3.337,0.729,4.448,2.506,0.936,2.735,1.85,0.309,3.238,0.201,0.991,0.289,4.587,11.182,2.786,1.261,0.253,2.619,8.267,2.928,0.735,0.314
45,2.778,0.782,4.752,3.656,0.579,5.159,2.09,0.87,2.371,1.255,0.316,2.358,0.21,0.734,0.281,4.449,10.175,2.467,1.111,0.247,2.513,7.526,2.125,0.611,0.271
46,3.076,0.744,5.294,4.357,0.489,6.131,1.803,0.766,1.878,0.893,0.327,1.735,0.226,0.51,0.271,4.287,8.872,2.132,0.958,0.263,2.727,6.829,1.648,0.592,0.238
47,3.529,0.745,5.732,5.367,0.49,7.274,1.766,0.645,1.432,0.87,0.341,1.554,0.244,0.361,0.259,4.359,7.831,1.885,0.858,0.3,3.5,6.336,1.708,0.716,0.225
48,4.18,0.813,5.919,6.672,0.582,8.481,1.979,0.531,1.135,1.172,0.356,1.826,0.259,0.312,0.241,4.804,7.451,1.815,0.859,0.35,4.925,6.134,2.295,0.972,0.235
49,5.193,0.951,5.81,8.381,0.735,9.585,2.335,0.441,1.04,1.686,0.376,2.411,0.27,0.351,0.22,5.616,7.752,1.918,0.963,0.404,6.813,6.259,3.178,1.289,0.264
50,6.799,1.128,5.546,10.662,0.899,10.435,2.667,0.382,1.09,2.235,0.402,3.08,0.282,0.446,0.199,6.523,8.381,2.088,1.14,0.453,8.658,6.621,4.01,1.571,0.305
51,9.044,1.29,5.34,13.432,1.025,10.951,2.838,0.351,1.196,2.659,0.435,3.613,0.302,0.561,0.187,7.232,8.926,2.215,1.358,0.489,9.879,6.953,4.488,1.726,0.345
52,11.609,1.38,5.404,16.195,1.077,11.052,2.781,0.336,1.256,2.851,0.467,3.874,0.331,0.652,0.188,7.549,9.066,2.216,1.584,0.507,10.033,7.019,4.467,1.705,0.373
53,13.865,1.366,5.797,18.292,1.046,10.743,2.499,0.326,1.223,2.808,0.491,3.854,0.368,0.682,0.204,7.432,8.754,2.081,1.785,0.509,9.028,6.702,3.976,1.518,0.387
54,15.125,1.251,6.571,19.119,0.947,10.21,2.063,0.32,1.115,2.602,0.5,3.614,0.407,0.642,0.23,6.971,8.118,1.863,1.931,0.499,7.192,6.061,3.196,1.227,0.388
55,15.092,1.082,7.627,18.569,0.832,9.775,1.601,0.319,0.984,2.376,0.496,3.278,0.443,0.559,0.259,6.317,7.355,1.628,1.994,0.484,5.235,5.307,2.413,0.938,0.386
56,14.019,0.968,9.058,17.074,0.816,9.845,1.222,0.326,0.878,2.327,0.493,3.019,0.474,0.487,0.287,5.729,6.792,1.487,1.971,0.471,3.808,4.877,2.007,0.788,0.386
57,12.645,1.013,10.757,15.466,1.007,10.607,0.979,0.345,0.808,2.604,0.506,2.972,0.502,0.468,0.312,5.463,6.757,1.512,1.883,0.464,3.31,5.208,2.245,0.885,0.392
58,11.717,1.246,12.552,14.455,1.43,11.886,0.869,0.375,0.757,3.226,0.541,3.165,0.525,0.513,0.336,5.652,7.439,1.675,1.758,0.461,3.692,6.426,3.1,1.239,0.4
59,11.591,1.593,14.123,14.278,1.989,13.169,0.841,0.408,0.71,4.063,0.585,3.532,0.537,0.595,0.357,6.339,8.94,1.853,1.623,0.454,4.506,8.27,4.272,1.751,0.405
60,12.093,1.928,14.953,14.626,2.506,13.784,0.82,0.43,0.661,4.89,0.614,3.94,0.532,0.67,0.375,7.454,11.222,1.972,1.495,0.432,5.264,10.135,5.355,2.237,0.399
61,12.767,2.119,14.768,15.037,2.795,13.396,0.77,0.43,0.636,5.455,0.603,4.232,0.501,0.703,0.384,8.844,14.064,2.036,1.377,0.391,5.704,11.27,5.964,2.525,0.381
62,13.321,2.087,13.425,15.281,2.745,12.0,0.711,0.407,0.678,5.585,0.546,4.284,0.446,0.697,0.383,10.182,16.959,2.094,1.259,0.333,5.814,11.199,5.873,2.508,0.352
63,13.813,1.84,11.171,15.423,2.375,9.812,0.682,0.369,0.81,5.263,0.455,4.066,0.376,0.68,0.374,10.964,19.305,2.197,1.122,0.273,5.694,9.987,5.124,2.189,0.318
64,14.404,1.475,8.477,15.602,1.825,7.328,0.709,0.327,1.019,4.649,0.358,3.654,0.307,0.689,0.36,10.71,20.665,2.376,0.96,0.224,5.504,8.077,3.968,1.677,0.292
65,15.084,1.127,5.912,15.805,1.293,5.087,0.791,0.295,1.252,3.998,0.283,3.217,0.255,0.751,0.349,9.36,21.043,2.657,0.802,0.198,5.338,6.073,2.798,1.159,0.284
66,15.597,0.908,3.883,15.843,0.939,3.511,0.902,0.281,1.445,3.481,0.248,2.89,0.232,0.868,0.344,7.45,20.865,2.989,0.712,0.196,5.184,4.464,1.974,0.826,0.299
67,15.575,0.857,2.681,15.565,0.823,2.84,1.008,0.295,1.548,3.156,0.253,2.743,0.239,1.017,0.343,5.612,20.52,3.237,0.741,0.218,4.956,3.439,1.693,0.791,0.33
